Printing from thread 1
   ID   |  i |  j |  k ||    x    |    y    |    z
   5400 |  0 |  0 |  6 || 0.00000 | 0.00000 | 0.20690 
   5401 |  1 |  0 |  6 || 0.03448 | 0.00000 | 0.20690 
   5402 |  2 |  0 |  6 || 0.06897 | 0.00000 | 0.20690 
   5403 |  3 |  0 |  6 || 0.10345 | 0.00000 | 0.20690 
   5404 |  4 |  0 |  6 || 0.13793 | 0.00000 | 0.20690 
   5405 |  5 |  0 |  6 || 0.17241 | 0.00000 | 0.20690 
   5406 |  6 |  0 |  6 || 0.20690 | 0.00000 | 0.20690 
   5407 |  7 |  0 |  6 || 0.24138 | 0.00000 | 0.20690 
   5408 |  8 |  0 |  6 || 0.27586 | 0.00000 | 0.20690 
   5409 |  9 |  0 |  6 || 0.31034 | 0.00000 | 0.20690 
   5410 | 10 |  0 |  6 || 0.34483 | 0.00000 | 0.20690 
   5411 | 11 |  0 |  6 || 0.37931 | 0.00000 | 0.20690 
   5412 | 12 |  0 |  6 || 0.41379 | 0.00000 | 0.20690 
   5413 | 13 |  0 |  6 || 0.44828 | 0.00000 | 0.20690 
   5414 | 14 |  0 |  6 || 0.48276 | 0.00000 | 0.20690 
   5415 | 15 |  0 |  6 || 0.51724 | 0.00000 | 0.20690 
   5416 | 16 |  0 |  6 || 0.55172 | 0.00000 | 0.20690 
   5417 | 17 |  0 |  6 || 0.58621 | 0.00000 | 0.20690 
   5418 | 18 |  0 |  6 || 0.62069 | 0.00000 | 0.20690 
   5419 | 19 |  0 |  6 || 0.65517 | 0.00000 | 0.20690 
   5420 | 20 |  0 |  6 || 0.68966 | 0.00000 | 0.20690 
   5421 | 21 |  0 |  6 || 0.72414 | 0.00000 | 0.20690 
   5422 | 22 |  0 |  6 || 0.75862 | 0.00000 | 0.20690 
   5423 | 23 |  0 |  6 || 0.79310 | 0.00000 | 0.20690 
   5424 | 24 |  0 |  6 || 0.82759 | 0.00000 | 0.20690 
   5425 | 25 |  0 |  6 || 0.86207 | 0.00000 | 0.20690 
   5426 | 26 |  0 |  6 || 0.89655 | 0.00000 | 0.20690 
   5427 | 27 |  0 |  6 || 0.93103 | 0.00000 | 0.20690 
   5428 | 28 |  0 |  6 || 0.96552 | 0.00000 | 0.20690 
   5429 | 29 |  0 |  6 || 1.00000 | 0.00000 | 0.20690 
   5430 |  0 |  1 |  6 || 0.00000 | 0.03448 | 0.20690 
   5431 |  1 |  1 |  6 || 0.03448 | 0.03448 | 0.20690 
   5432 |  2 |  1 |  6 || 0.06897 | 0.03448 | 0.20690 
   5433 |  3 |  1 |  6 || 0.10345 | 0.03448 | 0.20690 
   5434 |  4 |  1 |  6 || 0.13793 | 0.03448 | 0.20690 
   5435 |  5 |  1 |  6 || 0.17241 | 0.03448 | 0.20690 
   5436 |  6 |  1 |  6 || 0.20690 | 0.03448 | 0.20690 
   5437 |  7 |  1 |  6 || 0.24138 | 0.03448 | 0.20690 
   5438 |  8 |  1 |  6 || 0.27586 | 0.03448 | 0.20690 
   5439 |  9 |  1 |  6 || 0.31034 | 0.03448 | 0.20690 
   5440 | 10 |  1 |  6 || 0.34483 | 0.03448 | 0.20690 
   5441 | 11 |  1 |  6 || 0.37931 | 0.03448 | 0.20690 
   5442 | 12 |  1 |  6 || 0.41379 | 0.03448 | 0.20690 
   5443 | 13 |  1 |  6 || 0.44828 | 0.03448 | 0.20690 
   5444 | 14 |  1 |  6 || 0.48276 | 0.03448 | 0.20690 
   5445 | 15 |  1 |  6 || 0.51724 | 0.03448 | 0.20690 
   5446 | 16 |  1 |  6 || 0.55172 | 0.03448 | 0.20690 
   5447 | 17 |  1 |  6 || 0.58621 | 0.03448 | 0.20690 
   5448 | 18 |  1 |  6 || 0.62069 | 0.03448 | 0.20690 
   5449 | 19 |  1 |  6 || 0.65517 | 0.03448 | 0.20690 
   5450 | 20 |  1 |  6 || 0.68966 | 0.03448 | 0.20690 
   5451 | 21 |  1 |  6 || 0.72414 | 0.03448 | 0.20690 
   5452 | 22 |  1 |  6 || 0.75862 | 0.03448 | 0.20690 
   5453 | 23 |  1 |  6 || 0.79310 | 0.03448 | 0.20690 
   5454 | 24 |  1 |  6 || 0.82759 | 0.03448 | 0.20690 
   5455 | 25 |  1 |  6 || 0.86207 | 0.03448 | 0.20690 
   5456 | 26 |  1 |  6 || 0.89655 | 0.03448 | 0.20690 
   5457 | 27 |  1 |  6 || 0.93103 | 0.03448 | 0.20690 
   5458 | 28 |  1 |  6 || 0.96552 | 0.03448 | 0.20690 
   5459 | 29 |  1 |  6 || 1.00000 | 0.03448 | 0.20690 
   5460 |  0 |  2 |  6 || 0.00000 | 0.06897 | 0.20690 
